In Study,Out Of Study,Feature Group,PCA or Lasso,NRMSE,FGI
emip_fractions,cscw,Heatmaps,PCA,0.325,0.01
emip_fractions,cscw,LHIPA,LASSO,0.33,0.0095
emip_fractions,cscw,LHIPA,PCA,0.283,0.0096
emip_fractions,cscw,Pupil Diameter,LASSO,0.295,0.0096
emip_fractions,cscw,Pupil Diameter,PCA,0.295,0.0097
emip_fractions,cscw,Saccade Duration,LASSO,0.33,0.0099
emip_fractions,cscw,Saccade Duration,PCA,0.324,0.0106
emip_fractions,cscw,Saccade Length,LASSO,0.303,0.0093
emip_fractions,cscw,Saccade Length,PCA,0.336,0.01
emip_fractions,cscw,Spectral Histogram,LASSO,0.278,0.0095
emip_fractions,cscw,Spectral Histogram,PCA,0.306,0.0103
fractions,cscw,ARMA,LASSO,0.247,0.0127
fractions,cscw,ARMA,PCA,0.302,0.0127
fractions,cscw,All,LASSO,0.266,0.013
fractions,cscw,All,PCA,0.213,0.0128
fractions,cscw,Fixation Duration,LASSO,0.283,0.0133
fractions,cscw,Fixation Duration,PCA,0.23,0.0128
fractions,cscw,GARCH,LASSO,0.252,0.0125
fractions,cscw,GARCH,PCA,0.316,0.0126
fractions,cscw,Gaze Characteristics,LASSO,0.174,0.0126
fractions,cscw,Gaze Characteristics,PCA,0.181,0.0125
fractions,cscw,HMM,LASSO,0.299,0.0129
fractions,cscw,HMM,PCA,0.314,0.0127
fractions,cscw,Heatmaps,LASSO,0.212,0.0126
fractions,cscw,Heatmaps,PCA,0.268,0.0124
fractions,cscw,LHIPA,LASSO,0.204,0.0125
fractions,cscw,LHIPA,PCA,0.324,0.0128
fractions,cscw,Pupil Diameter,LASSO,0.243,0.0129
fractions,cscw,Pupil Diameter,PCA,0.236,0.0128
fractions,cscw,Saccade Duration,LASSO,0.269,0.0134
fractions,cscw,Saccade Duration,PCA,0.322,0.0134
fractions,cscw,Saccade Length,LASSO,0.246,0.0125
fractions,cscw,Saccade Length,PCA,0.175,0.0122
fractions,cscw,Spectral Histogram,LASSO,0.216,0.0131
fractions,cscw,Spectral Histogram,PCA,0.318,0.0128
fractions,emip,ARMA,LASSO,0.331,0.0085
fractions,emip,ARMA,PCA,0.266,0.0087
fractions,emip,All,LASSO,0.246,0.0088
fractions,emip,All,PCA,0.286,0.0087
fractions,emip,Fixation Duration,LASSO,0.237,0.0088
fractions,emip,Fixation Duration,PCA,0.271,0.0085
fractions,emip,GARCH,LASSO,0.305,0.0087
fractions,emip,GARCH,PCA,0.277,0.0084
fractions,emip,Gaze Characteristics,LASSO,0.3,0.0088
fractions,emip,Gaze Characteristics,PCA,0.183,0.0089
fractions,emip,HMM,LASSO,0.339,0.0088
fractions,emip,HMM,PCA,0.294,0.0089
fractions,emip,Heatmaps,LASSO,0.24,0.0089
fractions,emip,Heatmaps,PCA,0.215,0.0086
fractions,emip,LHIPA,LASSO,0.293,0.0085
fractions,emip,LHIPA,PCA,0.278,0.0086
fractions,emip,Pupil Diameter,LASSO,0.341,0.0088
fractions,emip,Pupil Diameter,PCA,0.327,0.0087
fractions,emip,Saccade Duration,LASSO,0.295,0.0089
fractions,emip,Saccade Duration,PCA,0.166,0.009
fractions,emip,Saccade Length,LASSO,0.245,0.0087
fractions,emip,Saccade Length,PCA,0.265,0.0089
fractions,emip,Spectral Histogram,LASSO,0.221,0.0087
fractions,emip,Spectral Histogram,PCA,0.229,0.0089
fractions_cscw,emip,ARMA,LASSO,0.254,0.0076
fractions_cscw,emip,ARMA,PCA,0.285,0.0071
fractions_cscw,emip,All,LASSO,0.204,0.0078
fractions_cscw,emip,All,PCA,0.199,0.0074
fractions_cscw,emip,Fixation Duration,LASSO,0.243,0.0078
fractions_cscw,emip,Fixation Duration,PCA,0.256,0.0077
fractions_cscw,emip,GARCH,LASSO,0.227,0.007
fractions_cscw,emip,GARCH,PCA,0.274,0.0077
fractions_cscw,emip,Gaze Characteristics,LASSO,0.24,0.0075
fractions_cscw,emip,Gaze Characteristics,PCA,0.254,0.0072
fractions_cscw,emip,HMM,LASSO,0.226,0.0078
fractions_cscw,emip,HMM,PCA,0.245,0.0074
fractions_cscw,emip,Heatmaps,LASSO,0.214,0.0077
fractions_cscw,emip,Heatmaps,PCA,0.226,0.0077
fractions_cscw,emip,LHIPA,LASSO,0.251,0.0074
fractions_cscw,emip,LHIPA,PCA,0.246,0.0077
fractions_cscw,emip,Pupil Diameter,LASSO,0.259,0.0077
fractions_cscw,emip,Pupil Diameter,PCA,0.251,0.0077
fractions_cscw,emip,Saccade Duration,LASSO,0.221,0.0077
fractions_cscw,emip,Saccade Duration,PCA,0.26,0.0076
fractions_cscw,emip,Saccade Length,LASSO,0.229,0.0077
fractions_cscw,emip,Saccade Length,PCA,0.245,0.0076
fractions_cscw,emip,Spectral Histogram,LASSO,0.212,0.0074
fractions_cscw,emip,Spectral Histogram,PCA,0.26,0.0076
